N,P,K,temperature,humidity,ph,rainfall
90,42,43,20.5,80,6.5,200
85,58,41,22.3,78,6.8,180
70,35,40,25.1,65,6.2,120
60,30,38,28.0,55,6.0,100
75,50,45,24.0,70,6.5,150
88,45,42,21.5,82,6.6,190
92,40,44,19.8,85,6.7,210
65,32,39,27.0,60,6.1,110
55,28,36,29.5,50,5.9,90
80,55,46,23.0,75,6.6,160
78,52,47,24.5,72,6.4,155
68,36,41,26.5,62,6.2,130
72,38,43,25.8,66,6.3,135
95,48,45,20.0,88,6.8,220
89,44,42,21.2,83,6.7,195
83,53,48,23.5,76,6.5,165
77,49,46,24.8,71,6.4,150
69,34,40,26.8,63,6.2,125
62,31,37,28.5,57,6.0,105
58,29,35,30.0,48,5.8,85
91,46,43,20.8,84,6.7,205
87,41,42,21.7,81,6.6,185
84,56,49,23.2,77,6.5,170
79,51,47,24.3,73,6.4,158
74,39,44,25.6,68,6.3,140
71,37,42,26.2,64,6.2,132
66,33,40,27.3,61,6.1,120
63,30,38,28.8,56,6.0,100
59,27,36,29.8,49,5.9,92
82,54,47,23.7,74,6.5,162
76,50,45,24.9,70,6.4,148
73,38,43,25.5,67,6.3,138
67,35,41,26.9,62,6.2,128
61,32,39,28.2,58,6.1,108
57,29,37,29.6,50,5.9,95
93,47,44,20.3,86,6.8,215
86,42,43,21.9,80,6.6,188
81,55,48,23.4,76,6.5,168
78,52,46,24.6,72,6.4,152
75,40,44,25.7,68,6.3,142
72,36,42,26.4,65,6.2,134
68,34,41,27.5,61,6.1,122
64,31,39,28.7,57,6.0,110
60,28,37,29.9,52,5.9,98
56,26,35,30.5,45,5.8,88
94,49,45,19.9,89,6.9,225
88,45,44,21.1,83,6.7,192
85,57,49,23.3,77,6.6,172
80,53,47,24.4,73,6.5,160
76,41,45,25.6,69,6.3,145
73,39,43,26.3,66,6.2,138
69,36,42,27.2,63,6.2,125
65,33,40,28.4,59,6.1,112
62,30,38,29.6,54,6.0,100
58,27,36,30.2,48,5.9,90
92,46,44,20.6,85,6.8,210
87,43,42,21.8,82,6.7,190
83,56,48,23.6,76,6.6,170
79,52,47,24.7,72,6.5,155
74,40,44,25.9,68,6.4,140
71,38,43,26.5,65,6.3,130
67,35,41,27.6,61,6.2,120
63,32,39,28.9,57,6.1,110
59,29,37,30.1,50,6.0,95
55,26,35,31.0,45,5.8,85
