N,P,K,temperature,humidity,ph,rainfall
99.803696,4.049031,-14.687279,26.03561,89.866516,5.1709685,199.64392
99.32911,10.298577,-8.855163,25.774744,89.54498,5.3339233,199.02646
97.96164,6.523607,-8.710172,24.6529,88.48486,5.304276,196.92357
99.53415,2.435103,-7.3361692,24.884945,89.606476,5.204319,199.23006
97.76273,6.1339197,-6.5597334,24.068947,88.289825,5.2949014,196.22237
99.5925,5.6890845,-9.670282,25.400974,89.70422,5.1745367,199.3297
99.749626,10.604644,-11.943425,26.05204,89.79907,5.2097106,199.61176
98.75142,7.494688,-8.277746,24.409664,89.00331,5.254783,197.6421
97.76993,3.9064202,-7.9842396,24.160892,88.407486,5.3159857,196.51157
98.659584,4.4359593,-11.8185005,24.529367,89.06382,5.2864156,198.25258
99.28525,5.2726545,-7.273004,25.143929,89.36773,5.2763257,198.82285
99.75889,5.6791806,-9.459388,26.439737,89.85127,5.1906486,199.54979
99.77716,5.7903433,-8.481499,25.82472,89.824905,5.165407,199.6149
99.35691,4.1581926,-11.342056,25.644806,89.57901,5.1955442,199.08467
99.610886,7.009696,-10.215831,25.709877,89.733635,5.143321,199.2632
99.13879,6.8084307,-8.767538,25.140495,89.35588,5.2965355,198.39168
98.27798,6.632059,-8.478085,24.231892,88.69084,5.4194894,196.68732
98.3646,6.411032,-9.228071,24.100399,88.833755,5.3659935,197.14235
98.78645,6.745822,-11.872931,25.297745,89.13919,5.336269,198.02783
99.19311,10.784135,-10.118311,24.921297,89.35072,5.2939706,198.56451
98.8064,2.9478188,-8.876761,24.199911,89.1375,5.2545304,198.286
99.20452,3.406687,-7.6118665,25.581648,89.401855,5.2611213,198.98254
99.102356,2.2478757,-10.380973,24.770918,89.408295,5.233873,198.75734
99.47329,9.15832,-13.647267,25.818325,89.625725,5.297881,199.17188
99.28603,3.3392005,-14.389346,25.609903,89.55745,5.2653184,198.99863
99.78521,3.0459397,-7.907673,25.945633,89.81601,5.1476483,199.56891
97.981735,6.868396,-8.59243,24.538616,88.520424,5.305387,196.9389
